,unique_id,full_name,minutes,goals_scored,assists,previous_start_value,delta_value,bps,selected_by_percent,position_DEF,position_FWD,position_GK,position_MID,teams_chelsea,teams_liverpool,teams_manchestercity,teams_manchesterunited,teams_newcastleunited,teams_tottenhamhotspur,target_value
786,229-2022-23,tylerroberts,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,50.0
89,475-2017-18,andrewrobertson,1940.0,1.0,5.0,50.0,0.0,514.0,7.4,1,0,0,0,0,1,0,0,0,0,45.0
213,120-2020-21,masonmount,2887.0,6.0,7.0,70.0,3.0,599.0,17.3,0,0,0,1,1,0,0,0,0,0,60.0
321,353-2020-21,johnegan,2628.0,0.0,1.0,50.0,-3.0,410.0,1.6,1,0,0,0,0,0,0,0,0,0,45.0
782,225-2022-23,rodrigomoreno,1928.0,13.0,2.0,60.0,3.0,368.0,4.1,0,0,0,1,0,0,0,0,0,0,65.0
133,378-2017-18,dannyrose,800.0,0.0,2.0,65.0,-1.0,136.0,0.3,1,0,0,0,0,0,0,0,0,1,60.0
346,378-2020-21,yanvalery,101.0,0.0,0.0,50.0,-3.0,12.0,0.0,1,0,0,0,0,0,0,0,0,0,50.0
43,123-2017-18,jeffreyschlupp,1742.0,0.0,2.0,50.0,-3.0,281.0,0.2,0,0,0,1,0,0,0,0,0,0,50.0
7,24-2017-18,jackwilshere,1185.0,1.0,3.0,55.0,-5.0,236.0,0.7,0,0,0,1,0,0,0,0,0,0,60.0
558,303-2021-22,emilkrafth,1636.0,0.0,1.0,45.0,-2.0,262.0,0.2,1,0,0,0,0,0,0,0,1,0,45.0
320,351-2020-21,georgebaldock,2787.0,0.0,2.0,55.0,-6.0,347.0,0.8,1,0,0,0,0,0,0,0,0,0,45.0
794,240-2022-23,crysenciosummerville,1411.0,4.0,4.0,45.0,-3.0,235.0,0.6,0,0,0,1,0,0,0,0,0,0,45.0
187,70-2020-21,mathewryan,1260.0,0.0,0.0,45.0,-4.0,216.0,5.6,0,0,1,0,0,0,0,0,0,0,45.0
586,350-2021-22,moussadjenepo,452.0,0.0,0.0,55.0,-3.0,21.0,0.0,0,0,0,1,0,0,0,0,0,0,55.0
122,325-2017-18,shanelong,1570.0,2.0,2.0,60.0,-4.0,167.0,0.5,0,1,0,0,0,0,0,0,0,0,65.0
40,118-2017-18,scottdann,1434.0,1.0,0.0,50.0,-4.0,211.0,0.3,1,0,0,0,0,0,0,0,0,0,55.0
304,338-2020-21,allansaint-maximin,1554.0,3.0,5.0,55.0,-3.0,278.0,3.1,0,0,0,1,0,0,0,0,1,0,55.0
31,96-2017-18,willycaballero,270.0,0.0,0.0,50.0,-2.0,54.0,0.1,0,0,1,0,1,0,0,0,0,0,50.0
553,298-2021-22,ryanfraser,1459.0,2.0,5.0,55.0,-4.0,263.0,0.3,0,0,0,1,0,0,0,0,1,0,60.0
172,479-2017-18,joehart,1710.0,0.0,1.0,45.0,-3.0,341.0,5.7,0,0,1,0,0,0,0,0,0,0,55.0
284,259-2020-21,trentalexander-arnold,3029.0,2.0,8.0,75.0,3.0,761.0,27.1,1,0,0,0,0,1,0,0,0,0,70.0
430,73-2021-22,stevenalzate,401.0,0.0,0.0,50.0,-2.0,77.0,0.0,0,0,0,1,0,0,0,0,0,0,45.0
805,289-2022-23,caoimhinkelleher,90.0,0.0,0.0,40.0,-1.0,20.0,0.2,0,0,1,0,0,1,0,0,0,0,45.0
