iter	RMSE
178	3.797625759
179	3.792093222
180	3.785319034
181	3.779026947
182	3.773832144
183	3.763324297
184	3.758272604
185	3.755402963
186	3.74826341
187	3.746708733
188	3.741488517
189	3.733412112
190	3.728776605
191	3.72325875
192	3.714432146
193	3.707606331
194	3.703592138
195	3.696850077
196	3.69311569
197	3.690480355
198	3.689102898
199	3.688617756
200	3.682677189
201	3.677889885
202	3.672166542
203	3.669079969
204	3.663560322
205	3.658716761
206	3.654478276
207	3.647815624
208	3.644158284
209	3.638481704
210	3.634145069
211	3.623291407
212	3.622350479
213	3.613830515
214	3.609307878
215	3.602972501
216	3.596007474
217	3.586252298
218	3.583109186
219	3.579150894
220	3.5677204
221	3.564505212
222	3.561192895
223	3.556021466
224	3.552891347
225	3.546428058
226	3.540315869
227	3.539768714
228	3.533701805
229	3.533092385
230	3.531522873
231	3.528152517
232	3.521168753
233	3.520599612
234	3.516627954
235	3.505765323
236	3.503688825
237	3.502341958
238	3.494224052
239	3.488295834
240	3.487050242
241	3.481944035
242	3.475045351
243	3.469760138
244	3.463692936
245	3.46162136
246	3.457773703
247	3.452838864
248	3.449319143
249	3.443683618
250	3.43865455
251	3.43768738
252	3.433172448
253	3.431381748
254	3.428386276
255	3.421186152
256	3.416565917
257	3.415530674
258	3.411514916
259	3.402031046
260	3.397056132
261	3.390668196
262	3.389924395
263	3.385748285
264	3.380302706
265	3.378199805
266	3.374368656
267	3.367770071
268	3.364532648
269	3.361161798
270	3.355258407
271	3.352962674
272	3.349339521
273	3.34084988
274	3.337141049
275	3.334106528
276	3.33243038
277	3.328242141
278	3.324298921
279	3.317677561
280	3.314313432
281	3.31124177
282	3.307818542
283	3.304559097
284	3.299572657
285	3.292255167
286	3.290274605
287	3.287437982
288	3.28340974
289	3.279213686
290	3.278545739
291	3.27573089
292	3.269634926
293	3.264597034
294	3.258940408
295	3.254358045
296	3.250713928
297	3.246360304
298	3.241762772
299	3.238191218
300	3.235906492
301	3.232926073
302	3.231510367
303	3.225867357
304	3.221812435
305	3.218471968
306	3.217621907
307	3.215072216
308	3.208753418
309	3.208513669
310	3.204585757
311	3.194656111
312	3.190596917
313	3.190357406
314	3.185255072
315	3.179100114
316	3.175172595
317	3.168677337
318	3.165852349
319	3.160717283
320	3.159799339
321	3.156966275
322	3.153790106
323	3.151075277
324	3.145444257
325	3.141720032
326	3.137325228
327	3.129792076
328	3.126985569
329	3.124916832
330	3.116403702
331	3.113969538
332	3.111627644
333	3.108719344
334	3.106812262
335	3.102681227
336	3.098969732
337	3.098564296
338	3.094260835
339	3.089651456
340	3.08877503
341	3.088087987
342	3.084957914
343	3.079297313
344	3.075821473
345	3.07186019
346	3.0695642
347	3.063650209
348	3.063054497
349	3.060510582
350	3.054716798
351	3.049754038
352	3.045347814
353	3.04007005
354	3.035521971
355	3.031365765
356	3.028602636
357	3.024875325
358	3.02034032
359	3.013520186
360	3.005248553
361	2.999945951
362	2.998717966
363	2.992886318
364	2.987600184
365	2.986607395
366	2.980682799
367	2.975607852
368	2.97175287
369	2.966733153
370	2.965155052
371	2.961925585
372	2.958741885
373	2.950907266
374	2.945221721
375	2.943596367
376	2.938106752
377	2.936969702
378	2.933566794
379	2.932422222
380	2.92898208
381	2.925096024
382	2.924861796
383	2.923680083
384	2.91962518
385	2.914210364
386	2.910994282
387	2.909909214
388	2.904121729
389	2.898503155
390	2.894568039
391	2.890536983
392	2.888655678
393	2.884226733
394	2.879550736
395	2.874345351
396	2.871491155
397	2.867370304
398	2.863536641
399	2.858954282
400	2.855447492
401	2.852755048
402	2.846657613
403	2.843241368
404	2.841774382
405	2.839016964
406	2.835432658
407	2.832622759
408	2.82953164
409	2.82618633
410	2.821574548
411	2.81743394
412	2.813100318
413	2.810971977
414	2.805886311
415	2.800930542
416	2.796621409
417	2.792598697
418	2.786368871
419	2.783341537
420	2.782526635
421	2.775588802
422	2.771246507
423	2.769806215
424	2.766980921
425	2.764776659
426	2.756754474
427	2.756393836
428	2.753778379
429	2.750117979
430	2.743259638
431	2.740004441
432	2.736318513
433	2.731435344
434	2.730045595
435	2.729873062
436	2.729408022
437	2.72598392
438	2.724849371
439	2.720974498
440	2.71786514
441	2.714882785
442	2.714393076
443	2.712046642
444	2.709851054
445	2.709541249
446	2.707554537
447	2.704670583
448	2.699411274
449	2.699278712
450	2.692217592
451	2.689674559
452	2.689108304
453	2.685740526
454	2.681084484
455	2.677003649
456	2.673144203
457	2.672976506
458	2.6679318
459	2.666476271
460	2.664331505
461	2.660690374
462	2.658515268
463	2.655492219
464	2.651760497
465	2.649211389
466	2.645080311
467	2.642230705
468	2.642032522
469	2.641575043
470	2.636412581
471	2.63313539
472	2.632873445
473	2.629330289
474	2.626794039
475	2.623709921
476	2.621063019
477	2.620725973
478	2.620358999
479	2.618107495
480	2.615115733
481	2.611578057
482	2.611479789
483	2.60772857
484	2.605344693
485	2.601455886
486	2.598675297
487	2.596758234
488	2.592641542
489	2.589711903
490	2.589476675
491	2.587982741
492	2.585934847
493	2.585504644
494	2.585196755
495	2.581986317
496	2.581533234
497	2.578712538
498	2.577887956
499	2.57464296
500	2.571896619
501	2.569341537
502	2.567396501
503	2.562736959
504	2.562556147
505	2.558807627
506	2.554329647
507	2.551674299
508	2.549966433
509	2.546908398
510	2.544490757
511	2.542957723
512	2.539521814
513	2.537498584
514	2.53318715
515	2.531253885
516	2.52961619
517	2.524881111
518	2.523406243
519	2.519281153
520	2.512125737
521	2.510962347
522	2.507922057
523	2.505480484
524	2.502356819
525	2.500047754
526	2.495964692
527	2.49332052
528	2.49046201
529	2.488372177
530	2.484311918
531	2.483111228
532	2.477894987
533	2.475273111
534	2.471583628
535	2.469099077
536	2.463682014
537	2.461533352
538	2.459324173
539	2.457747224
540	2.452179211
541	2.450021958
542	2.448200874
543	2.445117102
544	2.442473585
545	2.438558087
546	2.435295127
547	2.431915419
548	2.428777559
549	2.427416494
550	2.422538419
551	2.421345317
552	2.418863769
553	2.415246895
554	2.412571417
555	2.412482944
556	2.409699585
557	2.407856929
558	2.405909055
559	2.40419341
560	2.402296562
561	2.402059469
562	2.397104613
563	2.39427131
564	2.389348482
565	2.386898641
566	2.385020757
567	2.383130777
568	2.38010637
569	2.378358127
570	2.376909763
571	2.37335627
572	2.371705569
573	2.369136478
574	2.365801075
575	2.362131316
576	2.359017272
577	2.356805996
578	2.354813794
579	2.350491551
580	2.348364329
581	2.346716285
582	2.346502427
583	2.345997039
584	2.343481565
585	2.340326762
586	2.337889397
587	2.336055787
588	2.333530913
589	2.327786973
590	2.32222161
591	2.319621372
592	2.316002469
593	2.3154478
594	2.312865957
595	2.31034693
596	2.308052411
597	2.306868483
598	2.303722822
599	2.300864947
600	2.298502684
601	2.298199055
602	2.294831987
603	2.294648402
604	2.292108843
605	2.289285638
606	2.28801293
607	2.286890893
608	2.284501639
609	2.283171137
610	2.280239387
611	2.278305422
612	2.277479045
613	2.274363996
614	2.270605439
615	2.266927166
616	2.265963524
617	2.262304023
618	2.260195962
619	2.25839066
620	2.255911854
621	2.253971219
622	2.25217227
623	2.2505167
624	2.249556359
625	2.243405607
626	2.242616423
627	2.241423723
628	2.236505957
629	2.231408125
630	2.230260604
631	2.230053968
632	2.227115456
633	2.226726065
634	2.222969902
635	2.219931236
636	2.216363836
637	2.214417873
638	2.214154422
639	2.210751432
640	2.207665114
641	2.204744738
642	2.20134985
643	2.197738007
644	2.197099397
645	2.195219363
646	2.194127466
647	2.191965211
648	2.190110487
649	2.187905732
650	2.186102317
651	2.183941274
652	2.181981932
653	2.177935001
654	2.17621695
655	2.173984043
656	2.171707083
657	2.169488865
658	2.168855641
659	2.16870101
660	2.166556511
661	2.163931323
662	2.162066589
663	2.161488783
664	2.15966656
665	2.157499731
666	2.152931934
667	2.149401585
668	2.14474812
669	2.141796558
670	2.140672875
671	2.139047848
672	2.13731458
673	2.135155899
674	2.135092119
675	2.133742912
676	2.133325507
677	2.131181366
678	2.128975169
679	2.127238652
680	2.125208504
681	2.124251466
682	2.122077341
683	2.120364109
684	2.120280642
685	2.119310633
686	2.118396106
687	2.11796937
688	2.11618519
689	2.114708444
690	2.111950226
691	2.110663013
692	2.107139816
693	2.104335449
694	2.102277131
695	2.100742936
696	2.099201727
697	2.095699674
698	2.092634947
699	2.092517809
700	2.090686403
701	2.088599835
702	2.085945321
703	2.083294813
704	2.080613709
705	2.079141896
706	2.077837825
707	2.075962556
708	2.073606156
709	2.073082357
710	2.072206099
711	2.071313941
712	2.06889836
713	2.066439389
714	2.06519686
715	2.063835859
716	2.062297889
717	2.061193561
718	2.056659127
719	2.054484804
720	2.052207804
721	2.05096922
722	2.050579595
723	2.050040608
724	2.048248365
725	2.046364211
726	2.043749119
727	2.043229237
728	2.041625704
729	2.040716431
730	2.039353637
731	2.037102048
732	2.035264369
733	2.032908486
734	2.031045884
735	2.029020535
736	2.027087665
737	2.024955519
738	2.023273766
739	2.022392912
740	2.020089801
741	2.017976797
742	2.016582148
743	2.015065301
744	2.01370062
745	2.013363478
746	2.013317597
747	2.012160944
748	2.012092223
749	2.010601476
750	2.007740946
751	2.007280631
752	2.007239218
753	2.006113205
754	2.00599055
755	2.005776585
756	2.004841931
757	2.003801713
758	2.003684611
759	2.001356814
760	1.998984567
761	1.998879237
762	1.997811659
763	1.995120148
764	1.993499177
765	1.993355563
766	1.991803277
767	1.990318926
768	1.990209636
769	1.987318864
770	1.985275936
771	1.985125136
772	1.984441614
773	1.982303221
774	1.981739912
775	1.981701913
776	1.981669986
777	1.978952449
778	1.975699834
779	1.974438055
780	1.973687213
781	1.973049541
782	1.970738812
783	1.970605595
784	1.970492605
785	1.969288978
786	1.966946201
787	1.965737895
788	1.963749679
789	1.962914057
790	1.960670509
791	1.95986154
792	1.958414671
793	1.956618519
794	1.955641433
795	1.954254742
796	1.952442315
797	1.949858584
798	1.948837761
799	1.947733015
800	1.947699162
801	1.947492049
802	1.947429476
803	1.947308803
804	1.945547386
805	1.943733679
806	1.943617832
807	1.94138357
808	1.937173579
809	1.934135319
810	1.934118404
811	1.932850696
812	1.932794323
813	1.93254182
814	1.932426542
815	1.93037958
816	1.928764735
817	1.92670018
818	1.924852874
819	1.923666589
820	1.921966965
821	1.919585686
822	1.919482034
823	1.918650256
824	1.917184066
825	1.915686133
826	1.912713111
827	1.912342517
828	1.910503389
829	1.908754912
830	1.905025455
831	1.902872946
832	1.9015665
833	1.900805085
834	1.897915002
835	1.895203309
836	1.893545337
837	1.892441204
838	1.891853298
839	1.889985348
840	1.888024247
841	1.886469382
842	1.884864215
843	1.882991481
844	1.882957164
845	1.8789592
846	1.878221919
847	1.876733347
848	1.873403775
849	1.87238816
850	1.869709894
851	1.867704569
852	1.86604772
853	1.864563488
854	1.862979668
855	1.861764585
856	1.860264901
857	1.860190084
858	1.860156353
859	1.857903426
860	1.85613838
861	1.853006443
862	1.852111146
863	1.849780503
864	1.849412458
865	1.847940743
866	1.846080814
867	1.844776491
868	1.844744474
869	1.842405051
870	1.84142317
871	1.840454281
872	1.838121956
873	1.837290018
874	1.836094623
875	1.834386275
876	1.833319038
877	1.830298491
878	1.830264637
879	1.825914516
880	1.82324013
881	1.82251081
882	1.821431932
883	1.819353754
884	1.816675042
885	1.815466013
886	1.813413504
887	1.811186654
888	1.809963673
889	1.807858144
890	1.807038644
891	1.80506092
892	1.801858216
893	1.798504478
894	1.797480965
895	1.794086632
896	1.789688727
897	1.78713869
898	1.784507505
899	1.782545909
900	1.781914888
901	1.780650593
902	1.780259477
903	1.779465855
904	1.779132266
905	1.778684283
906	1.778658335
907	1.778290343
908	1.776307688
909	1.775627727
910	1.772375131
911	1.771434046
912	1.769613951
913	1.76791199
914	1.765435216
915	1.763857247
916	1.763070037
917	1.762355685
918	1.761236558
919	1.759936537
920	1.758797437
921	1.757391375
922	1.756548602
923	1.75621728
924	1.755111502
925	1.755085357
926	1.753388874
927	1.751499361
928	1.751135193
929	1.750978743
930	1.750865942
931	1.74942573
932	1.749360084
933	1.747845941
934	1.747228287
935	1.746118969
936	1.744809527
937	1.743320138
938	1.742349538
939	1.740923405
940	1.739232602
941	1.739115761
942	1.737345964
943	1.734753401
944	1.734304636
945	1.733196467
946	1.732017826
947	1.731687988
948	1.730540026
949	1.73020895
950	1.729833958
951	1.729087576
952	1.728490609
953	1.725845182
954	1.725148453
955	1.724213608
956	1.723153481
957	1.722540016
958	1.721077435
959	1.721051475
960	1.719464446
961	1.718653296
962	1.715761661
963	1.715738979
964	1.713662383
965	1.712318827
966	1.712294441
967	1.712125128
968	1.710884947
969	1.708369589
970	1.707043193
971	1.70702331
972	1.706153772
973	1.705165405
974	1.705143711
975	1.70509156
976	1.703877773
977	1.702141252
978	1.700279037
979	1.697923627
980	1.69660756
981	1.695942798
982	1.694531456
983	1.692532407
984	1.691624083
985	1.690281969
986	1.689939189
987	1.687799357
988	1.685501685
989	1.68373524
990	1.682307641
991	1.681372648
992	1.681351517
993	1.680106546
994	1.677179786
995	1.675217823
996	1.67396124
997	1.672685592
998	1.672666955
999	1.671595804
